Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
470,16,18,-10,2.225
471,16,17,-20,3.178
472,29,21,20,2.989
473,12,18,-10,3.385
474,23,20,-10,2.537
475,27,20,-10,1.635
476,14,19,-10,3.059
477,21,9,15.0,3.141
478,21,18,10,4.364
479,17,21,-10,4.934
480,25,13,-10,5.121
481,20,24,10,4.992
482,13,21,-10,4.727
483,20,17,10,4.931
484,20,17,20,6.679
485,18,17,10,7.5
486,21,18,10,0.254
487,20,17,10,0.257
488,21,20,20,0.13
489,17,22,10,0.265
490,17,23,10,0.0
491,23,17,-10,-0.136
492,12,26,10,0.278
493,21,11,15.0,0.281
494,20,24,10,0.143
495,17,19,-10,-0.145
496,15,20,-20,0.0
497,23,20,-10,-0.298
498,13,17,-10,0.0
499,14,17,-20,0.462
500,17,18,-10,0.627
501,28,22,20,0.64
502,20,18,10,0.812
503,25,16,-10,0.662
504,14,20,-10,0.841
505,18,23,10,0.684
506,20,18,10,0.522
507,23,13,-10,0.71
508,26,20,-10,0.181
509,23,14,-10,0.367
510,21,27,20,0.377
511,15,22,10,0.77
512,8,21,-10,0.782
513,26,20,-10,0.199
514,24,10,-10,0.203
515,18,24,10,0.208
516,20,19,10,0.424
517,20,18,10,-0.216
518,21,19,10,-0.441
519,23,19,-10,-0.45
520,13,24,10,-0.46
521,18,23,10,-0.941
522,14,22,10,-1.204
523,20,20,0,-1.725
524,22,20,-10,-2.019
525,19,18,10,-2.07
526,17,26,10,-2.133
527,17,21,-10,-2.463
528,20,25,10,-3.373
529,20,20,0,-3.756
530,23,20,-10,-4.754
531,12,18,-20,-4.615
532,20,25,10,-5.423
533,18,20,-20,-5.266
534,13,25,10,-4.132
535,18,18,0,-4.952
536,18,18,0,-5.127
537,13,23,20,-5.778
538,18,23,20,-5.778
539,17,19,-10,-4.837
540,14,19,-10,-4.194
541,12,22,20,-1.793
542,18,23,10,-0.945
543,13,17,-10,-0.495
544,19,25,10,-0.253
545,22,14,-10,-0.256
546,20,21,-10,-0.259
547,20,17,10,-0.263
548,16,17,-10,0.0
549,20,18,10,-0.135
550,21,17,15.0,-0.545
551,10,21,-10,-0.688
552,17,18,-10,-0.419
553,17,19,-10,-0.425
554,17,17,0,0.144
555,15,18,-10,0.586
556,20,19,10,0.446
557,26,17,-10,0.151
558,20,19,10,0.614
559,20,24,10,0.627
560,22,17,-10,0.477
561,18,18,0,0.81
562,14,19,-10,1.152
563,25,13,-10,1.677
564,12,22,10,2.046
565,14,25,10,2.08
566,26,18,-10,1.763
567,14,21,-10,1.972
568,17,17,0,2.007
569,18,18,0,2.423
570,22,19,-10,2.277
571,20,18,10,1.733
572,17,19,-10,1.766
573,21,20,10,1.4
574,18,17,10,1.843
575,23,20,-10,1.671
576,16,18,-10,1.918
577,21,14,15.0,1.517
578,21,18,15.0,0.881
