Games Played,Player Hand,Dealer Hand,Win/Loss ($),Count
897,21,13,7.5,-2.476
898,12,17,-5,-2.249
899,20,18,5,-3.16
900,13,18,-5,-2.659
901,18,24,10,-2.753
902,21,19,5,-2.537
903,23,13,-5,-2.616
904,21,9,7.5,-2.684
905,19,18,5,-2.773
906,18,18,0,-3.562
907,18,19,-5,-4.394
908,19,20,-10,-4.555
909,15,24,5,-5.121
910,19,18,5,-5.323
911,18,24,5,-5.157
912,21,10,7.5,-5.333
913,17,23,5,-6.5
914,15,17,-5,-6.318
915,22,19,-5,0.0
916,19,17,5,-0.128
917,16,22,5,-0.129
918,14,25,5,-0.131
919,17,24,5,-0.398
920,12,25,5,-0.537
921,18,18,0,-0.545
922,20,19,5,-0.277
923,21,7,7.5,-0.28
924,20,17,5,-0.565
925,26,13,-5,-0.573
926,21,20,10,-0.872
927,21,18,7.5,-1.322
928,17,19,-5,-1.341
929,18,19,-5,-1.36
930,18,17,5,-1.077
931,17,27,10,-1.41
932,17,24,5,-1.436
933,21,18,7.5,-1.938
934,17,25,5,-2.139
935,12,21,-5,-2.174
936,18,18,0,-2.541
937,16,21,-5,-2.917
938,19,26,10,-2.811
939,16,21,-10,-2.159
940,19,25,5,-1.851
941,20,17,10,-1.702
942,12,21,-5,-2.111
943,18,19,-5,-1.766
944,21,22,5,-1.606
945,19,17,5,-1.835
946,20,19,5,-1.258
947,14,18,-5,-0.856
948,23,19,-5,-1.092
949,21,6,7.5,-1.111
950,17,21,-5,-1.809
951,23,12,-5,-1.618
952,19,20,-5,-1.891
953,19,17,5,-2.407
954,14,18,-10,-1.486
955,24,11,-5,-1.275
956,22,10,-5,-0.263
957,19,19,0,0.0
958,23,15,-5,-0.278
959,12,23,5,-0.571
960,19,18,5,0.591
961,24,17,-5,0.612
962,19,17,5,0.0
963,20,26,5,0.0
964,25,13,-5,1.359
965,14,23,5,1.405
966,20,17,5,0.361
967,14,24,5,0.0
968,14,21,-5,1.564
969,21,20,5,1.219
970,20,26,5,0.0
971,14,20,-5,0.441
972,21,20,5,0.464
973,20,17,5,-0.963
974,16,21,-5,-2.0
975,17,21,-5,-0.379
976,17,21,-5,-0.765
977,21,14,7.5,-1.03
978,20,21,-5,-0.915
979,14,18,-5,-0.662
980,20,21,-5,-0.537
981,23,20,-5,-0.955
982,19,24,5,-1.106
983,21,20,5,-0.705
984,21,10,7.5,-0.855
985,17,19,-5,-1.008
986,20,24,5,-0.441
987,13,17,-5,-0.298
988,25,17,-5,-0.453
989,17,19,-10,-0.154
990,20,20,0,0.314
991,19,19,0,0.319
992,17,26,5,0.815
993,18,19,-5,0.828
994,21,13,7.5,0.671
995,12,24,5,0.511
996,23,20,-5,0.52
997,12,18,-5,0.705
998,21,17,5,0.717
999,19,18,5,0.367
1000,17,18,-5,0.367
1001,22,14,-5,0.374
1002,15,21,-5,0.0
1003,21,14,7.5,-0.385
1004,18,20,-5,-0.197
1005,20,24,5,0.609
1006,20,24,5,0.0
1007,20,18,5,0.639
1008,15,20,-5,0.87
1009,12,21,-5,0.664
1010,20,17,5,0.678
1011,15,18,-5,1.393
1012,19,18,5,1.662
1013,21,21,0,0.726
1014,15,18,-5,0.99
1015,20,18,5,1.275
1016,25,14,-5,1.838
1017,17,20,-5,1.072
1018,14,18,-10,1.936
1019,12,20,-5,2.273
1020,23,19,-5,2.045
1021,18,24,5,3.365
1022,19,18,5,3.152
1023,14,21,-5,2.584
1024,16,21,-10,3.355
1025,21,18,10,3.839
1026,19,19,0,3.228
1027,16,20,-5,3.714
1028,20,20,0,3.467
1029,17,18,-5,2.779
1030,18,24,5,3.744
1031,17,20,-5,3.008
1032,19,21,-5,1.778
1033,20,18,5,0.46
1034,18,19,-5,-0.477
1035,24,20,-5,-1.5
1036,23,18,-5,-0.127
1037,20,21,-10,0.516
1038,17,17,0,1.313
1039,25,11,-5,1.33
1040,17,23,5,1.347
1041,17,18,-5,1.501
1042,12,26,5,1.673
1043,16,26,10,1.673
1044,12,22,5,1.696
1045,17,17,0,2.6
1046,17,21,-5,2.191
1047,20,20,0,1.926
1048,20,23,10,2.419
